index,grid_x,grid_y,real_x,real_y,height
512,168.9747,189.7215,366165.76,362608.0,116.91
513,169.3038,189.3418,366165.76,362607.8,116.91
514,169.6329,188.962,366165.96,362607.8,116.91
515,169.962,188.5823,366165.96,362607.8,116.91
516,170.2911,188.2025,366165.96,362607.6,116.91
517,170.6203,187.8228,366166.16,362607.6,116.91
518,170.9494,187.443,366166.16,362607.4,116.91
519,171.2785,187.0633,366166.16,362607.4,116.91
520,171.6076,186.6835,366166.36,362607.4,116.91
521,171.9367,186.3038,366166.36,362607.2,116.91
522,172.2658,185.9241,366166.36,362607.2,116.91
523,172.5949,185.5443,366166.56,362607.2,116.91
524,172.9241,185.1646,366166.56,362607.0,116.87
525,173.2532,184.7848,366166.56,362607.0,116.87
526,173.5823,184.4051,366166.76,362606.8,116.87
527,173.9114,184.0253,366166.76,362606.8,116.87
528,174.2405,183.6456,366166.76,362606.8,116.87
529,174.5696,183.2658,366166.96,362606.6,116.87
530,174.8987,182.8861,366166.96,362606.6,116.87
531,175.2278,182.5063,366166.96,362606.6,116.87
532,175.557,182.1266,366167.16,362606.4,116.87
533,175.8861,181.7468,366167.16,362606.4,116.87
534,176.2152,181.3671,366167.16,362606.2,116.87
535,176.5443,180.9873,366167.36,362606.2,116.87
536,176.8734,180.6076,366167.36,362606.2,116.87
537,177.2025,180.2278,366167.36,362606.0,116.85
538,177.5316,179.8481,366167.56,362606.0,116.85
539,177.8608,179.4684,366167.56,362605.8,116.85
540,178.1899,179.0886,366167.56,362605.8,116.85
541,178.519,178.7089,366167.76,362605.8,116.87
542,178.8481,178.3291,366167.76,362605.6,116.87
543,179.1772,177.9494,366167.76,362605.6,116.87
544,179.5063,177.5696,366167.96,362605.6,116.87
545,179.8354,177.1899,366167.96,362605.4,116.87
546,180.1646,176.8101,366167.96,362605.4,116.87
547,180.4937,176.4304,366167.96,362605.2,116.87
548,180.8228,176.0506,366168.16,362605.2,116.87
549,181.1519,175.6709,366168.16,362605.2,116.87
550,181.481,175.2911,366168.16,362605.0,116.85
551,181.8101,174.9114,366168.36,362605.0,116.85
552,182.1392,174.5316,366168.36,362605.0,116.85
553,182.4684,174.1519,366168.36,362604.8,116.85
554,182.7975,173.7722,366168.56,362604.8,116.85
555,183.1266,173.3924,366168.56,362604.6,116.85
556,183.4557,173.0127,366168.56,362604.6,116.85
